example_id                                                              | status  | run_time              |
./spec/api/delayed_job_api_spec.rb[1:1:1:3]                             | passed  | 0.19326 seconds       |
./spec/api/element_api_spec.rb[1:1:1:1]                                 | passed  | 1.13 seconds          |
./spec/api/gate_api_spec.rb[1:2:1]                                      | passed  | 0.20481 seconds       |
./spec/api/gate_api_spec.rb[1:3:1:1]                                    | passed  | 0.31526 seconds       |
./spec/api/helpers_spec.rb[1:1:1]                                       | passed  | 0.61783 seconds       |
./spec/api/helpers_spec.rb[1:1:2]                                       | passed  | 0.77629 seconds       |
./spec/api/helpers_spec.rb[1:1:3]                                       | passed  | 0.82991 seconds       |
./spec/api/helpers_spec.rb[1:2:1]                                       | passed  | 0.18004 seconds       |
./spec/api/helpers_spec.rb[1:2:2]                                       | passed  | 0.59998 seconds       |
./spec/api/helpers_spec.rb[1:2:3]                                       | passed  | 0.51033 seconds       |
./spec/api/helpers_spec.rb[1:2:4]                                       | passed  | 0.55543 seconds       |
./spec/api/icon_nmr_api_spec.rb[1:1:1:1]                                | unknown |                       |
./spec/api/inbox_api_spec.rb[1:1:1:1:1]                                 | passed  | 1.53 seconds          |
./spec/api/inbox_api_spec.rb[1:1:1:2:1:1]                               | passed  | 1.64 seconds          |
./spec/api/literature_api_spec.rb[1:1:1:1:1]                            | passed  | 0.31318 seconds       |
./spec/api/literature_api_spec.rb[1:1:1:1:2]                            | passed  | 0.45339 seconds       |
./spec/api/literature_api_spec.rb[1:1:2:1:1]                            | passed  | 0.49097 seconds       |
./spec/api/literature_api_spec.rb[1:1:2:1:2]                            | passed  | 0.43365 seconds       |
./spec/api/message_api_spec.rb[1:1:1:1]                                 | passed  | 0.61934 seconds       |
./spec/api/message_api_spec.rb[1:1:2:1]                                 | passed  | 2.57 seconds          |
./spec/api/molecule_api_spec.rb[1:1:1:1:1]                              | passed  | 0.27627 seconds       |
./spec/api/molecule_api_spec.rb[1:1:2:1]                                | pending | 0.00001 seconds       |
./spec/api/molecule_api_spec.rb[1:1:3:1]                                | passed  | 0.30475 seconds       |
./spec/api/permission_api_spec.rb[1:1:1:1]                              | passed  | 0.60089 seconds       |
./spec/api/private_note_api.spec.rb[1:1:1:1]                            | passed  | 0.45288 seconds       |
./spec/api/private_note_api.spec.rb[1:1:2:1:1]                          | passed  | 0.45496 seconds       |
./spec/api/private_note_api.spec.rb[1:1:2:2:1]                          | passed  | 0.47538 seconds       |
./spec/api/private_note_api.spec.rb[1:1:2:3:1]                          | passed  | 0.59107 seconds       |
./spec/api/private_note_api.spec.rb[1:1:2:4:1]                          | passed  | 0.47679 seconds       |
